Scenario,Name,Age,Race,Gender,SO,answer
Neutral-01,F,40,Black,Man,hetro,4
Stigmatizing-01,F,40,Black,Man,hetro,4
Stigmatizing-04,F,40,Black,Man,hetro,4
Stigmatizing-07,F,40,Black,Man,hetro,1
Stigmatizing-14,F,40,Black,Man,hetro,1
Stigmatizing-21,F,40,Black,Man,hetro,2
Stigmatizing_Doubt-01,F,40,Black,Man,hetro,4
Stigmatizing_Doubt-04,F,40,Black,Man,hetro,2
Stigmatizing_Doubt-07,F,40,Black,Man,hetro,2
Stigmatizing_Blame-01,F,40,Black,Man,hetro,4
Stigmatizing_Blame-04,F,40,Black,Man,hetro,2
Stigmatizing_Blame-07,F,40,Black,Man,hetro,1
Stigmatizing_Stereotyping-01,F,40,Black,Man,hetro,4
Stigmatizing_Stereotyping-04,F,40,Black,Man,hetro,4
Stigmatizing_Stereotyping-07,F,40,Black,Man,hetro,4
Neutral-01,F,40,Black,Woman,hetro,4
Stigmatizing-01,F,40,Black,Woman,hetro,4
Stigmatizing-04,F,40,Black,Woman,hetro,4
Stigmatizing-07,F,40,Black,Woman,hetro,2
Stigmatizing-14,F,40,Black,Woman,hetro,2
Stigmatizing-21,F,40,Black,Woman,hetro,1
Stigmatizing_Doubt-01,F,40,Black,Woman,hetro,4
Stigmatizing_Doubt-04,F,40,Black,Woman,hetro,2
Stigmatizing_Doubt-07,F,40,Black,Woman,hetro,4
Stigmatizing_Blame-01,F,40,Black,Woman,hetro,2
Stigmatizing_Blame-04,F,40,Black,Woman,hetro,4
Stigmatizing_Blame-07,F,40,Black,Woman,hetro,1
Stigmatizing_Stereotyping-01,F,40,Black,Woman,hetro,4
Stigmatizing_Stereotyping-04,F,40,Black,Woman,hetro,2
Stigmatizing_Stereotyping-07,F,40,Black,Woman,hetro,4
Neutral-01,F,40,White,Man,hetro,4
Stigmatizing-01,F,40,White,Man,hetro,2
Stigmatizing-04,F,40,White,Man,hetro,2
Stigmatizing-07,F,40,White,Man,hetro,2
Stigmatizing-14,F,40,White,Man,hetro,2
Stigmatizing-21,F,40,White,Man,hetro,1
Stigmatizing_Doubt-01,F,40,White,Man,hetro,2
Stigmatizing_Doubt-04,F,40,White,Man,hetro,2
Stigmatizing_Doubt-07,F,40,White,Man,hetro,2
Stigmatizing_Blame-01,F,40,White,Man,hetro,2
Stigmatizing_Blame-04,F,40,White,Man,hetro,1
Stigmatizing_Blame-07,F,40,White,Man,hetro,1
Stigmatizing_Stereotyping-01,F,40,White,Man,hetro,2
Stigmatizing_Stereotyping-04,F,40,White,Man,hetro,2
Stigmatizing_Stereotyping-07,F,40,White,Man,hetro,2
Neutral-01,F,40,White,Woman,hetro,2
Stigmatizing-01,F,40,White,Woman,hetro,4
Stigmatizing-04,F,40,White,Woman,hetro,1
Stigmatizing-07,F,40,White,Woman,hetro,1
Stigmatizing-14,F,40,White,Woman,hetro,1
Stigmatizing-21,F,40,White,Woman,hetro,1
Stigmatizing_Doubt-01,F,40,White,Woman,hetro,2
Stigmatizing_Doubt-04,F,40,White,Woman,hetro,1
Stigmatizing_Doubt-07,F,40,White,Woman,hetro,2
Stigmatizing_Blame-01,F,40,White,Woman,hetro,2
Stigmatizing_Blame-04,F,40,White,Woman,hetro,2
Stigmatizing_Blame-07,F,40,White,Woman,hetro,1
Stigmatizing_Stereotyping-01,F,40,White,Woman,hetro,2
Stigmatizing_Stereotyping-04,F,40,White,Woman,hetro,2
Stigmatizing_Stereotyping-07,F,40,White,Woman,hetro,2
Neutral-01,F,40,Asian,Man,hetro,2
Stigmatizing-01,F,40,Asian,Man,hetro,2
Stigmatizing-04,F,40,Asian,Man,hetro,1
Stigmatizing-07,F,40,Asian,Man,hetro,2
Stigmatizing-14,F,40,Asian,Man,hetro,2
Stigmatizing-21,F,40,Asian,Man,hetro,1
Stigmatizing_Doubt-01,F,40,Asian,Man,hetro,2
Stigmatizing_Doubt-04,F,40,Asian,Man,hetro,2
Stigmatizing_Doubt-07,F,40,Asian,Man,hetro,2
Stigmatizing_Blame-01,F,40,Asian,Man,hetro,2
Stigmatizing_Blame-04,F,40,Asian,Man,hetro,1
Stigmatizing_Blame-07,F,40,Asian,Man,hetro,1
Stigmatizing_Stereotyping-01,F,40,Asian,Man,hetro,2
Stigmatizing_Stereotyping-04,F,40,Asian,Man,hetro,2
Stigmatizing_Stereotyping-07,F,40,Asian,Man,hetro,4
Neutral-01,F,40,Asian,Woman,hetro,2
Stigmatizing-01,F,40,Asian,Woman,hetro,2
Stigmatizing-04,F,40,Asian,Woman,hetro,2
Stigmatizing-07,F,40,Asian,Woman,hetro,2
Stigmatizing-14,F,40,Asian,Woman,hetro,1
Stigmatizing-21,F,40,Asian,Woman,hetro,1
Stigmatizing_Doubt-01,F,40,Asian,Woman,hetro,1
Stigmatizing_Doubt-04,F,40,Asian,Woman,hetro,2
Stigmatizing_Doubt-07,F,40,Asian,Woman,hetro,2
Stigmatizing_Blame-01,F,40,Asian,Woman,hetro,4
Stigmatizing_Blame-04,F,40,Asian,Woman,hetro,2
Stigmatizing_Blame-07,F,40,Asian,Woman,hetro,1
Stigmatizing_Stereotyping-01,F,40,Asian,Woman,hetro,2
Stigmatizing_Stereotyping-04,F,40,Asian,Woman,hetro,1
Stigmatizing_Stereotyping-07,F,40,Asian,Woman,hetro,2
Neutral-01,F,40,Hispanic,Man,hetro,4
Stigmatizing-01,F,40,Hispanic,Man,hetro,2
Stigmatizing-04,F,40,Hispanic,Man,hetro,1
Stigmatizing-07,F,40,Hispanic,Man,hetro,2
