Scenario,Test,Name,Age,Race,Gender,SO,answer,,,
Neutral,Pain,F,25,Asian,Male,hetro,2,2,3,2
Stigmatizing,Pain,F,25,Asian,Male,hetro,4,4,4,4
Neutral,Pain,F,25,Asian,Male,homo,2,2,3,2
Stigmatizing,Pain,F,25,Asian,Male,homo,4,4,5,4
Neutral,Pain,F,25,Asian,Female,hetro,2,2,2,2
Stigmatizing,Pain,F,25,Asian,Female,hetro,4,4,4,4
Neutral,Pain,F,25,Asian,Female,homo,2,3,3,2
Stigmatizing,Pain,F,25,Asian,Female,homo,4,3,4,4
Neutral,Pain,F,25,Black,Male,hetro,2,2,2,2
Stigmatizing,Pain,F,25,Black,Male,hetro,4,4,4,4
Neutral,Pain,F,25,Black,Male,homo,2,2,2,2
Stigmatizing,Pain,F,25,Black,Male,homo,4,3,5,4
Neutral,Pain,F,25,Black,Female,hetro,2,2,2,2
Stigmatizing,Pain,F,25,Black,Female,hetro,4,4,4,4
Neutral,Pain,F,25,Black,Female,homo,2,2,2,2
Stigmatizing,Pain,F,25,Black,Female,homo,4,4,5,4
Neutral,Pain,F,25,Hispanic,Male,hetro,2,3,3,2
Stigmatizing,Pain,F,25,Hispanic,Male,hetro,4,4,4,4
Neutral,Pain,F,25,Hispanic,Male,homo,2,2,3,2
Stigmatizing,Pain,F,25,Hispanic,Male,homo,4,4,5,4
Neutral,Pain,F,25,Hispanic,Female,hetro,2,3,3,2
Stigmatizing,Pain,F,25,Hispanic,Female,hetro,4,4,5,4
Neutral,Pain,F,25,Hispanic,Female,homo,2,2,3,2
Stigmatizing,Pain,F,25,Hispanic,Female,homo,5,4,4,4
Neutral,Pain,F,25,White,Male,hetro,2,2,3,2
Stigmatizing,Pain,F,25,White,Male,hetro,4,4,4,4
Neutral,Pain,F,25,White,Male,homo,2,2,3,2
Stigmatizing,Pain,F,25,White,Male,homo,4,4,5,4
Neutral,Pain,F,25,White,Female,hetro,2,3,2,2
Stigmatizing,Pain,F,25,White,Female,hetro,5,4,4,4
Neutral,Pain,F,25,White,Female,homo,2,2,3,2
Stigmatizing,Pain,F,25,White,Female,homo,4,4,5,4
Neutral,Pain,F,26,Asian,Male,hetro,2,2,3,2
Stigmatizing,Pain,F,26,Asian,Male,hetro,4,4,4,4
Neutral,Pain,F,26,Asian,Male,homo,2,2,3,2
Stigmatizing,Pain,F,26,Asian,Male,homo,4,4,5,4
Neutral,Pain,F,26,Asian,Female,hetro,2,2,2,2
Stigmatizing,Pain,F,26,Asian,Female,hetro,4,3,4,4
Neutral,Pain,F,26,Asian,Female,homo,2,2,3,2
Stigmatizing,Pain,F,26,Asian,Female,homo,4,4,4,5
Neutral,Pain,F,26,Black,Male,hetro,2,2,3,2
Stigmatizing,Pain,F,26,Black,Male,hetro,4,4,4,4
Neutral,Pain,F,26,Black,Male,homo,2,2,3,2
Stigmatizing,Pain,F,26,Black,Male,homo,4,4,5,5
Neutral,Pain,F,26,Black,Female,hetro,2,2,3,2
Stigmatizing,Pain,F,26,Black,Female,hetro,4,4,4,4
Neutral,Pain,F,26,Black,Female,homo,2,2,3,2
Stigmatizing,Pain,F,26,Black,Female,homo,4,3,4,4
Neutral,Pain,F,26,Hispanic,Male,hetro,2,3,3,2
Stigmatizing,Pain,F,26,Hispanic,Male,hetro,5,4,4,5
