Scenario,Name,Age,Race,Gender,SO,answer,,,,,,,,,,
Neutral-01,F,40,Black,Man,hetro,32,3,4,4,4,3,3,3,2,3,3
Stigmatizing-01,F,40,Black,Man,hetro,27,3,4,3,2,2,3,3,2,3,2
Stigmatizing-04,F,40,Black,Man,hetro,26,2,4,3,2,2,4,2,2,3,2
Stigmatizing-07,F,40,Black,Man,hetro,23,2,4,3,2,2,2,2,1,3,2
Stigmatizing-14,F,40,Black,Man,hetro,19,2,3,2,1,1,1,2,2,3,2
Stigmatizing-21,F,40,Black,Man,hetro,18,1,3,2,1,1,1,2,2,3,2
Stigmatizing_Doubt-01,F,40,Black,Man,hetro,28,3,4,3,2,3,3,3,2,3,2
Stigmatizing_Doubt-04,F,40,Black,Man,hetro,26,3,4,3,2,3,2,2,2,3,2
Stigmatizing_Doubt-07,F,40,Black,Man,hetro,30,3,4,2,2,2,2,4,4,3,4
Stigmatizing_Blame-01,F,40,Black,Man,hetro,33,3,4,4,4,3,3,2,3,4,3
Stigmatizing_Blame-04,F,40,Black,Man,hetro,25,3,4,2,2,3,2,2,2,3,2
Stigmatizing_Blame-07,F,40,Black,Man,hetro,24,2,4,3,2,2,3,2,1,3,2
Stigmatizing_Stereotyping-01,F,40,Black,Man,hetro,30,3,4,4,2,4,3,3,2,3,2
Stigmatizing_Stereotyping-04,F,40,Black,Man,hetro,25,2,4,3,2,3,2,2,2,3,2
Stigmatizing_Stereotyping-07,F,40,Black,Man,hetro,23,2,4,3,2,2,1,2,2,3,2
Neutral-01,F,40,Black,Woman,hetro,30,3,4,4,4,3,3,2,2,3,2
Stigmatizing-01,F,40,Black,Woman,hetro,33,3,5,4,4,4,4,2,2,3,2
Stigmatizing-04,F,40,Black,Woman,hetro,26,2,4,3,2,2,2,3,2,3,3
Stigmatizing-07,F,40,Black,Woman,hetro,25,2,4,3,2,3,2,2,2,3,2
Stigmatizing-14,F,40,Black,Woman,hetro,23,2,4,3,2,2,1,2,2,3,2
Stigmatizing-21,F,40,Black,Woman,hetro,15,1,3,2,1,1,1,1,1,3,1
Stigmatizing_Doubt-01,F,40,Black,Woman,hetro,27,2,3,3,2,3,4,2,2,3,3
Stigmatizing_Doubt-04,F,40,Black,Woman,hetro,25,3,4,3,2,2,2,2,2,3,2
Stigmatizing_Doubt-07,F,40,Black,Woman,hetro,22,2,3,3,2,2,1,2,2,3,2
Stigmatizing_Blame-01,F,40,Black,Woman,hetro,31,3,4,4,2,2,4,3,3,3,3
Stigmatizing_Blame-04,F,40,Black,Woman,hetro,24,3,4,3,2,2,2,2,1,3,2
Stigmatizing_Blame-07,F,40,Black,Woman,hetro,25,2,4,3,2,3,2,2,2,3,2
Stigmatizing_Stereotyping-01,F,40,Black,Woman,hetro,28,3,4,3,2,2,3,3,2,3,3
Stigmatizing_Stereotyping-04,F,40,Black,Woman,hetro,29,2,4,3,2,3,2,3,3,4,3
Stigmatizing_Stereotyping-07,F,40,Black,Woman,hetro,30,3,4,2,2,2,2,4,4,3,4
Neutral-01,F,40,White,Man,hetro,31,3,4,4,2,2,3,3,4,3,3
Stigmatizing-01,F,40,White,Man,hetro,31,3,4,4,2,3,3,2,3,4,3
Stigmatizing-04,F,40,White,Man,hetro,22,2,3,3,2,2,2,2,1,3,2
Stigmatizing-07,F,40,White,Man,hetro,22,2,3,2,2,2,2,2,2,3,2
Stigmatizing-14,F,40,White,Man,hetro,19,2,3,2,1,1,1,2,2,3,2
Stigmatizing-21,F,40,White,Man,hetro,20,2,3,3,1,1,1,2,2,3,2
Stigmatizing_Doubt-01,F,40,White,Man,hetro,31,3,4,4,2,3,4,2,3,3,3
Stigmatizing_Doubt-04,F,40,White,Man,hetro,23,3,4,2,2,2,2,2,1,3,2
Stigmatizing_Doubt-07,F,40,White,Man,hetro,23,2,3,3,2,2,2,2,2,3,2
Stigmatizing_Blame-01,F,40,White,Man,hetro,27,2,3,3,2,2,4,2,3,4,2
Stigmatizing_Blame-04,F,40,White,Man,hetro,21,2,3,2,2,2,1,2,2,3,2
Stigmatizing_Blame-07,F,40,White,Man,hetro,22,2,3,2,2,3,2,2,1,3,2
