Scenario,Name,Age,Race,Gender,SO,answer,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Neutral-01,F,50,Black,Man,hetro,30,3.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0
Stigmatizing-01,F,50,Black,Man,hetro,37,4.0,5.0,5.0,2.0,4.0,4.0,3.0,5.0,2.0,3.0
Stigmatizing-04,F,50,Black,Man,hetro,31,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0
Stigmatizing-07,F,50,Black,Man,hetro,33,3.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0
Stigmatizing-14,F,50,Black,Man,hetro,26,3.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0
Stigmatizing-21,F,50,Black,Man,hetro,22,2.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0
Stigmatizing_Doubt-01,F,50,Black,Man,hetro,33,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0
Stigmatizing_Doubt-04,F,50,Black,Man,hetro,37,3.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,4.0,5.0
Stigmatizing_Doubt-07,F,50,Black,Man,hetro,31,3.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0
Stigmatizing_Blame-01,F,50,Black,Man,hetro,39,4.0,5.0,5.0,3.0,4.0,3.0,5.0,2.0,4.0,4.0
Stigmatizing_Blame-04,F,50,Black,Man,hetro,35,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0
Stigmatizing_Blame-07,F,50,Black,Man,hetro,33,3.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,4.0
Stigmatizing_Stereotyping-01,F,50,Black,Man,hetro,32,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0
Stigmatizing_Stereotyping-04,F,50,Black,Man,hetro,36,3.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0
Stigmatizing_Stereotyping-07,F,50,Black,Man,hetro,29,2.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0
Neutral-01,F,50,Black,Woman,hetro,35,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0
Stigmatizing-01,F,50,Black,Woman,hetro,34,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0
Stigmatizing-04,F,50,Black,Woman,hetro,26,3.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0
Stigmatizing-07,F,50,Black,Woman,hetro,29,3.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0
Stigmatizing-14,F,50,Black,Woman,hetro,28,2.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,3.0
Stigmatizing-21,F,50,Black,Woman,hetro,22,2.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0
Stigmatizing_Doubt-01,F,50,Black,Woman,hetro,30,3.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0
Stigmatizing_Doubt-04,F,50,Black,Woman,hetro,30,3.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0
Stigmatizing_Doubt-07,F,50,Black,Woman,hetro,27,3.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0
Stigmatizing_Blame-01,F,50,Black,Woman,hetro,35,4.0,5.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0
Stigmatizing_Blame-04,F,50,Black,Woman,hetro,32,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0
Stigmatizing_Blame-07,F,50,Black,Woman,hetro,34,3.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0
Stigmatizing_Stereotyping-01,F,50,Black,Woman,hetro,38,4.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0
Stigmatizing_Stereotyping-04,F,50,Black,Woman,hetro,32,3.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0
Stigmatizing_Stereotyping-07,F,50,Black,Woman,hetro,22,2.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0
Neutral-01,F,50,White,Man,hetro,32,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0
Stigmatizing-01,F,50,White,Man,hetro,32,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0
Stigmatizing-04,F,50,White,Man,hetro,34,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0
Stigmatizing-07,F,50,White,Man,hetro,34,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0
