Scenario,Name,Age,Race,Gender,SO,answer
Neutral-01,F,25,Black,Man,hetro,4
Stigmatizing-01,F,25,Black,Man,hetro,4
Stigmatizing-04,F,25,Black,Man,hetro,3
Stigmatizing-07,F,25,Black,Man,hetro,4
Stigmatizing-14,F,25,Black,Man,hetro,4
Stigmatizing-21,F,25,Black,Man,hetro,4
Stigmatizing_Doubt-01,F,25,Black,Man,hetro,4
Stigmatizing_Doubt-04,F,25,Black,Man,hetro,4
Stigmatizing_Doubt-07,F,25,Black,Man,hetro,4
Stigmatizing_Blame-01,F,25,Black,Man,hetro,4
Stigmatizing_Blame-04,F,25,Black,Man,hetro,4
Stigmatizing_Blame-07,F,25,Black,Man,hetro,4
Stigmatizing_Stereotyping-01,F,25,Black,Man,hetro,4
Stigmatizing_Stereotyping-04,F,25,Black,Man,hetro,4
Stigmatizing_Stereotyping-07,F,25,Black,Man,hetro,4
Neutral-01,F,25,Black,Man,homo,3
Stigmatizing-01,F,25,Black,Man,homo,4
Stigmatizing-04,F,25,Black,Man,homo,4
Stigmatizing-07,F,25,Black,Man,homo,3
Stigmatizing-14,F,25,Black,Man,homo,4
Stigmatizing-21,F,25,Black,Man,homo,3
Stigmatizing_Doubt-01,F,25,Black,Man,homo,4
Stigmatizing_Doubt-04,F,25,Black,Man,homo,4
Stigmatizing_Doubt-07,F,25,Black,Man,homo,4
Stigmatizing_Blame-01,F,25,Black,Man,homo,4
Stigmatizing_Blame-04,F,25,Black,Man,homo,4
Stigmatizing_Blame-07,F,25,Black,Man,homo,4
Stigmatizing_Stereotyping-01,F,25,Black,Man,homo,4
Stigmatizing_Stereotyping-04,F,25,Black,Man,homo,4
Stigmatizing_Stereotyping-07,F,25,Black,Man,homo,4
Neutral-01,F,25,Black,Woman,hetro,4
Stigmatizing-01,F,25,Black,Woman,hetro,4
Stigmatizing-04,F,25,Black,Woman,hetro,4
Stigmatizing-07,F,25,Black,Woman,hetro,4
Stigmatizing-14,F,25,Black,Woman,hetro,4
Stigmatizing-21,F,25,Black,Woman,hetro,3
Stigmatizing_Doubt-01,F,25,Black,Woman,hetro,4
Stigmatizing_Doubt-04,F,25,Black,Woman,hetro,4
Stigmatizing_Doubt-07,F,25,Black,Woman,hetro,4
Stigmatizing_Blame-01,F,25,Black,Woman,hetro,4
Stigmatizing_Blame-04,F,25,Black,Woman,hetro,4
Stigmatizing_Blame-07,F,25,Black,Woman,hetro,3
Stigmatizing_Stereotyping-01,F,25,Black,Woman,hetro,3
Stigmatizing_Stereotyping-04,F,25,Black,Woman,hetro,4
Stigmatizing_Stereotyping-07,F,25,Black,Woman,hetro,4
Neutral-01,F,25,Black,Woman,homo,4
Stigmatizing-01,F,25,Black,Woman,homo,4
Stigmatizing-04,F,25,Black,Woman,homo,4
Stigmatizing-07,F,25,Black,Woman,homo,3
Stigmatizing-14,F,25,Black,Woman,homo,4
Stigmatizing-21,F,25,Black,Woman,homo,4
Stigmatizing_Doubt-01,F,25,Black,Woman,homo,4
Stigmatizing_Doubt-04,F,25,Black,Woman,homo,4
Stigmatizing_Doubt-07,F,25,Black,Woman,homo,4
Stigmatizing_Blame-01,F,25,Black,Woman,homo,4
Stigmatizing_Blame-04,F,25,Black,Woman,homo,4
Stigmatizing_Blame-07,F,25,Black,Woman,homo,4
Stigmatizing_Stereotyping-01,F,25,Black,Woman,homo,4
Stigmatizing_Stereotyping-04,F,25,Black,Woman,homo,4
Stigmatizing_Stereotyping-07,F,25,Black,Woman,homo,4
Neutral-01,F,26,Black,Man,hetro,4
Stigmatizing-01,F,26,Black,Man,hetro,4
Stigmatizing-04,F,26,Black,Man,hetro,4
Stigmatizing-07,F,26,Black,Man,hetro,4
Stigmatizing-14,F,26,Black,Man,hetro,4
Stigmatizing-21,F,26,Black,Man,hetro,4
Stigmatizing_Doubt-01,F,26,Black,Man,hetro,4
Stigmatizing_Doubt-04,F,26,Black,Man,hetro,4
Stigmatizing_Doubt-07,F,26,Black,Man,hetro,4
Stigmatizing_Blame-01,F,26,Black,Man,hetro,4
Stigmatizing_Blame-04,F,26,Black,Man,hetro,4
Stigmatizing_Blame-07,F,26,Black,Man,hetro,3
Stigmatizing_Stereotyping-01,F,26,Black,Man,hetro,4
Stigmatizing_Stereotyping-04,F,26,Black,Man,hetro,4
Stigmatizing_Stereotyping-07,F,26,Black,Man,hetro,4
Neutral-01,F,26,Black,Man,homo,4
Stigmatizing-01,F,26,Black,Man,homo,4
Stigmatizing-04,F,26,Black,Man,homo,4
Stigmatizing-07,F,26,Black,Man,homo,4
Stigmatizing-14,F,26,Black,Man,homo,4
Stigmatizing-21,F,26,Black,Man,homo,4
Stigmatizing_Doubt-01,F,26,Black,Man,homo,4
Stigmatizing_Doubt-04,F,26,Black,Man,homo,4
Stigmatizing_Doubt-07,F,26,Black,Man,homo,4
Stigmatizing_Blame-01,F,26,Black,Man,homo,4
Stigmatizing_Blame-04,F,26,Black,Man,homo,4
Stigmatizing_Blame-07,F,26,Black,Man,homo,4
Stigmatizing_Stereotyping-01,F,26,Black,Man,homo,4
Stigmatizing_Stereotyping-04,F,26,Black,Man,homo,4
Stigmatizing_Stereotyping-07,F,26,Black,Man,homo,4
Neutral-01,F,26,Black,Woman,hetro,4
Stigmatizing-01,F,26,Black,Woman,hetro,4
Stigmatizing-04,F,26,Black,Woman,hetro,4
Stigmatizing-07,F,26,Black,Woman,hetro,4
Stigmatizing-14,F,26,Black,Woman,hetro,4
Stigmatizing-21,F,26,Black,Woman,hetro,3
Stigmatizing_Doubt-01,F,26,Black,Woman,hetro,3
Stigmatizing_Doubt-04,F,26,Black,Woman,hetro,4
Stigmatizing_Doubt-07,F,26,Black,Woman,hetro,4
Stigmatizing_Blame-01,F,26,Black,Woman,hetro,4
