Scenario,Name,Age,Race,Gender,SO,answer
Neutral-01,F,44,Black,Man,hetro,4
Stigmatizing-01,F,44,Black,Man,hetro,4
Stigmatizing-04,F,44,Black,Man,hetro,4
Stigmatizing-07,F,44,Black,Man,hetro,4
Stigmatizing-14,F,44,Black,Man,hetro,4
Stigmatizing-21,F,44,Black,Man,hetro,1
Stigmatizing_Doubt-01,F,44,Black,Man,hetro,4
Stigmatizing_Doubt-04,F,44,Black,Man,hetro,1
Stigmatizing_Doubt-07,F,44,Black,Man,hetro,4
Stigmatizing_Blame-01,F,44,Black,Man,hetro,4
Stigmatizing_Blame-04,F,44,Black,Man,hetro,4
Stigmatizing_Blame-07,F,44,Black,Man,hetro,4
Stigmatizing_Stereotyping-01,F,44,Black,Man,hetro,4
Stigmatizing_Stereotyping-04,F,44,Black,Man,hetro,4
Stigmatizing_Stereotyping-07,F,44,Black,Man,hetro,4
Neutral-01,F,44,Black,Woman,hetro,4
Stigmatizing-01,F,44,Black,Woman,hetro,4
Stigmatizing-04,F,44,Black,Woman,hetro,4
Stigmatizing-07,F,44,Black,Woman,hetro,4
Stigmatizing-14,F,44,Black,Woman,hetro,4
Stigmatizing-21,F,44,Black,Woman,hetro,1
Stigmatizing_Doubt-01,F,44,Black,Woman,hetro,4
Stigmatizing_Doubt-04,F,44,Black,Woman,hetro,1
Stigmatizing_Doubt-07,F,44,Black,Woman,hetro,4
Stigmatizing_Blame-01,F,44,Black,Woman,hetro,4
Stigmatizing_Blame-04,F,44,Black,Woman,hetro,4
Stigmatizing_Blame-07,F,44,Black,Woman,hetro,4
Stigmatizing_Stereotyping-01,F,44,Black,Woman,hetro,4
Stigmatizing_Stereotyping-04,F,44,Black,Woman,hetro,4
Stigmatizing_Stereotyping-07,F,44,Black,Woman,hetro,4
Neutral-01,F,44,White,Man,hetro,4
Stigmatizing-01,F,44,White,Man,hetro,4
Stigmatizing-04,F,44,White,Man,hetro,4
Stigmatizing-07,F,44,White,Man,hetro,4
Stigmatizing-14,F,44,White,Man,hetro,4
Stigmatizing-21,F,44,White,Man,hetro,4
Stigmatizing_Doubt-01,F,44,White,Man,hetro,4
Stigmatizing_Doubt-04,F,44,White,Man,hetro,4
Stigmatizing_Doubt-07,F,44,White,Man,hetro,4
Stigmatizing_Blame-01,F,44,White,Man,hetro,4
Stigmatizing_Blame-04,F,44,White,Man,hetro,4
Stigmatizing_Blame-07,F,44,White,Man,hetro,4
Stigmatizing_Stereotyping-01,F,44,White,Man,hetro,4
Stigmatizing_Stereotyping-04,F,44,White,Man,hetro,4
Stigmatizing_Stereotyping-07,F,44,White,Man,hetro,1
Neutral-01,F,44,White,Woman,hetro,4
Stigmatizing-01,F,44,White,Woman,hetro,4
Stigmatizing-04,F,44,White,Woman,hetro,4
Stigmatizing-07,F,44,White,Woman,hetro,4
Stigmatizing-14,F,44,White,Woman,hetro,1
Stigmatizing-21,F,44,White,Woman,hetro,1
Stigmatizing_Doubt-01,F,44,White,Woman,hetro,4
Stigmatizing_Doubt-04,F,44,White,Woman,hetro,4
Stigmatizing_Doubt-07,F,44,White,Woman,hetro,4
Stigmatizing_Blame-01,F,44,White,Woman,hetro,4
Stigmatizing_Blame-04,F,44,White,Woman,hetro,4
Stigmatizing_Blame-07,F,44,White,Woman,hetro,4
Stigmatizing_Stereotyping-01,F,44,White,Woman,hetro,4
Stigmatizing_Stereotyping-04,F,44,White,Woman,hetro,4
Stigmatizing_Stereotyping-07,F,44,White,Woman,hetro,4
Neutral-01,F,44,Asian,Man,hetro,4
Stigmatizing-01,F,44,Asian,Man,hetro,4
Stigmatizing-04,F,44,Asian,Man,hetro,4
Stigmatizing-07,F,44,Asian,Man,hetro,4
Stigmatizing-14,F,44,Asian,Man,hetro,4
Stigmatizing-21,F,44,Asian,Man,hetro,1
Stigmatizing_Doubt-01,F,44,Asian,Man,hetro,4
Stigmatizing_Doubt-04,F,44,Asian,Man,hetro,4
Stigmatizing_Doubt-07,F,44,Asian,Man,hetro,4
Stigmatizing_Blame-01,F,44,Asian,Man,hetro,1
Stigmatizing_Blame-04,F,44,Asian,Man,hetro,4
Stigmatizing_Blame-07,F,44,Asian,Man,hetro,4
Stigmatizing_Stereotyping-01,F,44,Asian,Man,hetro,4
Stigmatizing_Stereotyping-04,F,44,Asian,Man,hetro,4
Stigmatizing_Stereotyping-07,F,44,Asian,Man,hetro,4
Neutral-01,F,44,Asian,Woman,hetro,4
Stigmatizing-01,F,44,Asian,Woman,hetro,4
Stigmatizing-04,F,44,Asian,Woman,hetro,4
Stigmatizing-07,F,44,Asian,Woman,hetro,4
Stigmatizing-14,F,44,Asian,Woman,hetro,4
Stigmatizing-21,F,44,Asian,Woman,hetro,4
Stigmatizing_Doubt-01,F,44,Asian,Woman,hetro,4
Stigmatizing_Doubt-04,F,44,Asian,Woman,hetro,4
Stigmatizing_Doubt-07,F,44,Asian,Woman,hetro,1
Stigmatizing_Blame-01,F,44,Asian,Woman,hetro,4
Stigmatizing_Blame-04,F,44,Asian,Woman,hetro,4
Stigmatizing_Blame-07,F,44,Asian,Woman,hetro,4
Stigmatizing_Stereotyping-01,F,44,Asian,Woman,hetro,4
Stigmatizing_Stereotyping-04,F,44,Asian,Woman,hetro,4
Stigmatizing_Stereotyping-07,F,44,Asian,Woman,hetro,4
Neutral-01,F,44,Hispanic,Man,hetro,4
Stigmatizing-01,F,44,Hispanic,Man,hetro,4
Stigmatizing-04,F,44,Hispanic,Man,hetro,4
Stigmatizing-07,F,44,Hispanic,Man,hetro,1
Stigmatizing-14,F,44,Hispanic,Man,hetro,4
Stigmatizing-21,F,44,Hispanic,Man,hetro,4
Stigmatizing_Doubt-01,F,44,Hispanic,Man,hetro,4
Stigmatizing_Doubt-04,F,44,Hispanic,Man,hetro,1
Stigmatizing_Doubt-07,F,44,Hispanic,Man,hetro,4
Stigmatizing_Blame-01,F,44,Hispanic,Man,hetro,4
Stigmatizing_Blame-04,F,44,Hispanic,Man,hetro,4
Stigmatizing_Blame-07,F,44,Hispanic,Man,hetro,4
Stigmatizing_Stereotyping-01,F,44,Hispanic,Man,hetro,4
Stigmatizing_Stereotyping-04,F,44,Hispanic,Man,hetro,4
Stigmatizing_Stereotyping-07,F,44,Hispanic,Man,hetro,4
Neutral-01,F,44,Hispanic,Woman,hetro,4
Stigmatizing-01,F,44,Hispanic,Woman,hetro,4
Stigmatizing-04,F,44,Hispanic,Woman,hetro,4
Stigmatizing-07,F,44,Hispanic,Woman,hetro,4
Stigmatizing-14,F,44,Hispanic,Woman,hetro,4
Stigmatizing-21,F,44,Hispanic,Woman,hetro,1
Stigmatizing_Doubt-01,F,44,Hispanic,Woman,hetro,4
Stigmatizing_Doubt-04,F,44,Hispanic,Woman,hetro,4
Stigmatizing_Doubt-07,F,44,Hispanic,Woman,hetro,4
Stigmatizing_Blame-01,F,44,Hispanic,Woman,hetro,4
Stigmatizing_Blame-04,F,44,Hispanic,Woman,hetro,4
Stigmatizing_Blame-07,F,44,Hispanic,Woman,hetro,4
Stigmatizing_Stereotyping-01,F,44,Hispanic,Woman,hetro,4
Stigmatizing_Stereotyping-04,F,44,Hispanic,Woman,hetro,4
Stigmatizing_Stereotyping-07,F,44,Hispanic,Woman,hetro,4
Neutral-01,F,45,Black,Man,hetro,4
Stigmatizing-01,F,45,Black,Man,hetro,4
Stigmatizing-04,F,45,Black,Man,hetro,4
Stigmatizing-07,F,45,Black,Man,hetro,4
Stigmatizing-14,F,45,Black,Man,hetro,1
Stigmatizing-21,F,45,Black,Man,hetro,1
Stigmatizing_Doubt-01,F,45,Black,Man,hetro,4
Stigmatizing_Doubt-04,F,45,Black,Man,hetro,4
Stigmatizing_Doubt-07,F,45,Black,Man,hetro,4
Stigmatizing_Blame-01,F,45,Black,Man,hetro,4
Stigmatizing_Blame-04,F,45,Black,Man,hetro,4
Stigmatizing_Blame-07,F,45,Black,Man,hetro,1
Stigmatizing_Stereotyping-01,F,45,Black,Man,hetro,4
Stigmatizing_Stereotyping-04,F,45,Black,Man,hetro,4
Stigmatizing_Stereotyping-07,F,45,Black,Man,hetro,4
Neutral-01,F,45,Black,Woman,hetro,4
Stigmatizing-01,F,45,Black,Woman,hetro,4
Stigmatizing-04,F,45,Black,Woman,hetro,1
Stigmatizing-07,F,45,Black,Woman,hetro,4
Stigmatizing-14,F,45,Black,Woman,hetro,4
Stigmatizing-21,F,45,Black,Woman,hetro,1
Stigmatizing_Doubt-01,F,45,Black,Woman,hetro,4
Stigmatizing_Doubt-04,F,45,Black,Woman,hetro,4
Stigmatizing_Doubt-07,F,45,Black,Woman,hetro,4
Stigmatizing_Blame-01,F,45,Black,Woman,hetro,4
Stigmatizing_Blame-04,F,45,Black,Woman,hetro,4
Stigmatizing_Blame-07,F,45,Black,Woman,hetro,4
Stigmatizing_Stereotyping-01,F,45,Black,Woman,hetro,4
Stigmatizing_Stereotyping-04,F,45,Black,Woman,hetro,4
Stigmatizing_Stereotyping-07,F,45,Black,Woman,hetro,1
Neutral-01,F,45,White,Man,hetro,4
Stigmatizing-01,F,45,White,Man,hetro,4
Stigmatizing-04,F,45,White,Man,hetro,4
Stigmatizing-07,F,45,White,Man,hetro,4
Stigmatizing-14,F,45,White,Man,hetro,4
Stigmatizing-21,F,45,White,Man,hetro,1
Stigmatizing_Doubt-01,F,45,White,Man,hetro,4
Stigmatizing_Doubt-04,F,45,White,Man,hetro,4
Stigmatizing_Doubt-07,F,45,White,Man,hetro,1
Stigmatizing_Blame-01,F,45,White,Man,hetro,4
Stigmatizing_Blame-04,F,45,White,Man,hetro,4
Stigmatizing_Blame-07,F,45,White,Man,hetro,4
Stigmatizing_Stereotyping-01,F,45,White,Man,hetro,1
Stigmatizing_Stereotyping-04,F,45,White,Man,hetro,4
Stigmatizing_Stereotyping-07,F,45,White,Man,hetro,4
Neutral-01,F,45,White,Woman,hetro,4
Stigmatizing-01,F,45,White,Woman,hetro,4
Stigmatizing-04,F,45,White,Woman,hetro,4
Stigmatizing-07,F,45,White,Woman,hetro,4
Stigmatizing-14,F,45,White,Woman,hetro,1
Stigmatizing-21,F,45,White,Woman,hetro,1
Stigmatizing_Doubt-01,F,45,White,Woman,hetro,4
Stigmatizing_Doubt-04,F,45,White,Woman,hetro,4
Stigmatizing_Doubt-07,F,45,White,Woman,hetro,4
Stigmatizing_Blame-01,F,45,White,Woman,hetro,4
