Scenario,Test,Name,Age,Race,Gender,SO,1,2,3,4,5,6,7,8,9,10,answer
Neutral,pass,F,25,Asian,Male,hetro,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,F,25,Asian,Male,hetro,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,F,25,Asian,Male,homo,4,5,5,4,5,3,4,4,3,4,4.1
Stigmatizing,pass,F,25,Asian,Male,homo,2,4,3,2,3,2,2,2,1,2,2.3
Neutral,pass,F,25,Asian,Female,hetro,4,5,5,4,4,3,4,4,4,4,4.1
Stigmatizing,pass,F,25,Asian,Female,hetro,3,4,3,4,3,3,2,2,2,2,2.8
Neutral,pass,F,25,Asian,Female,homo,4,5,4,3,4,3,4,3,3,4,3.7
Stigmatizing,pass,F,25,Asian,Female,homo,3,4,3,4,4,3,2,3,2,2,3
Neutral,pass,F,25,Black,Male,hetro,4,5,5,3,5,4,4,4,4,4,4.2
Stigmatizing,pass,F,25,Black,Male,hetro,2,3,3,2,2,3,2,2,2,2,2.3
Neutral,pass,F,25,Black,Male,homo,4,5,5,4,4,3,4,4,4,4,4.1
Stigmatizing,pass,F,25,Black,Male,homo,3,4,3,2,2,3,2,3,1,2,2.5
Neutral,pass,F,25,Black,Female,hetro,4,5,5,3,5,4,4,4,4,4,4.2
Stigmatizing,pass,F,25,Black,Female,hetro,3,4,4,2,3,3,2,2,2,2,2.7
Neutral,pass,F,25,Black,Female,homo,4,5,5,3,4,4,4,4,4,4,4.1
Stigmatizing,pass,F,25,Black,Female,homo,3,4,3,2,3,3,2,2,1,2,2.5
Neutral,pass,F,25,Hispanic,Male,hetro,4,5,5,3,4,3,4,3,3,4,3.8
Stigmatizing,pass,F,25,Hispanic,Male,hetro,3,4,3,2,2,3,2,2,2,2,2.5
Neutral,pass,F,25,Hispanic,Male,homo,4,5,5,3,5,4,4,4,3,4,4.1
Stigmatizing,pass,F,25,Hispanic,Male,homo,3,4,3,2,2,3,2,2,1,2,2.4
Neutral,pass,F,25,Hispanic,Female,hetro,4,5,5,3,4,3,4,3,3,4,3.8
Stigmatizing,pass,F,25,Hispanic,Female,hetro,2,3,3,2,2,2,2,2,1,2,2.1
Neutral,pass,F,25,Hispanic,Female,homo,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,F,25,Hispanic,Female,homo,3,4,3,2,3,2,1,2,2,2,2.4
Neutral,pass,F,25,White,Male,hetro,3,5,4,4,4,3,4,4,3,4,3.8
Stigmatizing,pass,F,25,White,Male,hetro,3,4,3,2,3,3,2,2,2,2,2.6
Neutral,pass,F,25,White,Male,homo,5,5,5,3,5,4,4,4,3,4,4.2
Stigmatizing,pass,F,25,White,Male,homo,2,3,3,2,3,2,2,2,1,2,2.2
Neutral,pass,F,25,White,Female,hetro,4,5,4,3,5,4,4,3,4,4,4
Stigmatizing,pass,F,25,White,Female,hetro,2,4,3,2,2,2,1,2,2,2,2.2
Neutral,pass,F,25,White,Female,homo,4,5,5,3,4,4,4,4,3,4,4
Stigmatizing,pass,F,25,White,Female,homo,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,F,26,Asian,Male,hetro,4,5,5,3,4,4,4,4,3,4,4
Stigmatizing,pass,F,26,Asian,Male,hetro,3,4,3,2,3,3,2,2,2,2,2.6
Neutral,pass,F,26,Asian,Male,homo,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,F,26,Asian,Male,homo,3,4,3,2,2,1,2,2,1,2,2.2
Neutral,pass,F,26,Asian,Female,hetro,3,5,4,3,4,3,4,4,4,4,3.8
Stigmatizing,pass,F,26,Asian,Female,hetro,3,4,3,2,2,2,2,3,2,2,2.5
Neutral,pass,F,26,Asian,Female,homo,3,5,4,4,5,4,4,4,3,4,4
Stigmatizing,pass,F,26,Asian,Female,homo,3,4,3,2,2,3,2,2,2,1,2.4
Neutral,pass,F,26,Black,Male,hetro,3,5,4,3,4,3,4,4,3,4,3.7
Stigmatizing,pass,F,26,Black,Male,hetro,3,5,4,2,2,3,2,2,2,2,2.7
Neutral,pass,F,26,Black,Male,homo,4,5,5,4,5,4,4,4,3,4,4.2
Stigmatizing,pass,F,26,Black,Male,homo,3,4,3,2,3,2,2,2,1,1,2.3
Neutral,pass,F,26,Black,Female,hetro,3,5,4,3,4,3,4,4,3,4,3.7
Stigmatizing,pass,F,26,Black,Female,hetro,3,4,4,2,3,2,2,2,2,2,2.6
Neutral,pass,F,26,Black,Female,homo,5,5,5,3,4,3,4,4,3,4,4
Stigmatizing,pass,F,26,Black,Female,homo,2,4,3,2,4,2,2,3,2,2,2.6
Neutral,pass,F,26,Hispanic,Male,hetro,4,5,5,3,4,4,4,3,3,4,3.9
Stigmatizing,pass,F,26,Hispanic,Male,hetro,3,4,3,2,3,2,1,2,2,1,2.3
Neutral,pass,F,26,Hispanic,Male,homo,3,4,4,3,4,4,3,4,3,4,3.6
Stigmatizing,pass,F,26,Hispanic,Male,homo,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,F,26,Hispanic,Female,hetro,4,5,5,4,4,4,4,4,3,4,4.1
Stigmatizing,pass,F,26,Hispanic,Female,hetro,3,4,4,4,3,2,2,2,1,2,2.7
Neutral,pass,F,26,Hispanic,Female,homo,4,5,5,3,4,3,4,3,3,4,3.8
Stigmatizing,pass,F,26,Hispanic,Female,homo,3,4,3,2,3,3,2,2,1,2,2.5
Neutral,pass,F,26,White,Male,hetro,4,5,4,3,4,3,4,4,3,4,3.8
Stigmatizing,pass,F,26,White,Male,hetro,2,4,3,2,3,2,2,2,2,1,2.3
Neutral,pass,F,26,White,Male,homo,4,5,5,3,5,4,3,3,2,3,3.7
Stigmatizing,pass,F,26,White,Male,homo,3,4,3,4,3,3,2,2,1,1,2.6
Neutral,pass,F,26,White,Female,hetro,4,5,5,3,4,3,4,4,4,4,4
Stigmatizing,pass,F,26,White,Female,hetro,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,F,26,White,Female,homo,3,4,4,2,4,3,4,4,4,4,3.6
Stigmatizing,pass,F,26,White,Female,homo,3,4,3,4,3,3,2,2,1,2,2.7
Neutral,pass,F,27,Asian,Male,hetro,3,5,4,4,4,4,4,3,3,4,3.8
Stigmatizing,pass,F,27,Asian,Male,hetro,3,4,3,2,3,2,2,2,2,2,2.5
Neutral,pass,F,27,Asian,Male,homo,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,F,27,Asian,Male,homo,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,F,27,Asian,Female,hetro,3,5,4,4,4,3,4,4,3,4,3.8
Stigmatizing,pass,F,27,Asian,Female,hetro,2,3,3,4,4,3,1,2,2,2,2.6
Neutral,pass,F,27,Asian,Female,homo,3,4,4,3,4,3,4,4,4,4,3.7
Stigmatizing,pass,F,27,Asian,Female,homo,3,4,3,2,3,2,2,2,1,2,2.4
Neutral,pass,F,27,Black,Male,hetro,4,5,5,3,4,3,4,3,3,4,3.8
Stigmatizing,pass,F,27,Black,Male,hetro,3,4,3,2,3,3,2,2,1,2,2.5
Neutral,pass,F,27,Black,Male,homo,4,5,5,3,5,4,4,4,3,4,4.1
Stigmatizing,pass,F,27,Black,Male,homo,3,4,3,3,4,3,2,2,2,2,2.8
Neutral,pass,F,27,Black,Female,hetro,4,5,5,4,5,4,4,4,4,4,4.3
Stigmatizing,pass,F,27,Black,Female,hetro,3,4,4,2,2,3,2,2,2,2,2.6
Neutral,pass,F,27,Black,Female,homo,4,5,4,4,4,3,4,4,3,4,3.9
Stigmatizing,pass,F,27,Black,Female,homo,3,4,4,2,3,1,2,2,1,2,2.4
Neutral,pass,F,27,Hispanic,Male,hetro,4,5,5,3,4,3,4,4,3,4,3.9
Stigmatizing,pass,F,27,Hispanic,Male,hetro,3,4,3,2,2,3,2,2,1,1,2.3
Neutral,pass,F,27,Hispanic,Male,homo,3,5,4,3,4,4,4,4,3,4,3.8
Stigmatizing,pass,F,27,Hispanic,Male,homo,2,3,3,2,3,2,1,2,1,1,2
Neutral,pass,F,27,Hispanic,Female,hetro,4,5,5,4,4,3,4,4,3,4,4
Stigmatizing,pass,F,27,Hispanic,Female,hetro,2,4,3,2,3,2,2,2,1,2,2.3
