Scenario,Name,Age,Race,Gender,SO,answer,,,,,,,,,,
Neutral-01,F,50,Black,Man,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing-01,F,50,Black,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-04,F,50,Black,Man,hetro,35,4,4,4,3,2,3,4,3,4,4
Stigmatizing-07,F,50,Black,Man,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing-14,F,50,Black,Man,hetro,34,4,4,4,2,2,3,4,3,4,4
Stigmatizing-21,F,50,Black,Man,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing_Doubt-01,F,50,Black,Man,hetro,39,4,5,5,1,2,3,5,4,5,5
Stigmatizing_Doubt-04,F,50,Black,Man,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Doubt-07,F,50,Black,Man,hetro,36,3,5,5,3,2,3,4,2,4,5
Stigmatizing_Blame-01,F,50,Black,Man,hetro,36,4,5,5,2,2,3,4,3,4,4
Stigmatizing_Blame-04,F,50,Black,Man,hetro,38,4,5,5,2,1,2,5,4,5,5
Stigmatizing_Blame-07,F,50,Black,Man,hetro,34,3,4,4,3,3,3,4,2,4,4
Stigmatizing_Stereotyping-01,F,50,Black,Man,hetro,37,4,5,5,2,4,2,4,3,4,4
Stigmatizing_Stereotyping-04,F,50,Black,Man,hetro,36,4,5,5,2,2,2,4,3,4,5
Stigmatizing_Stereotyping-07,F,50,Black,Man,hetro,34,4,5,4,2,2,2,4,3,4,4
Neutral-01,F,50,Black,Woman,hetro,46,5,5,5,5,5,1,5,5,5,5
Stigmatizing-01,F,50,Black,Woman,hetro,35,4,5,5,2,2,2,4,3,4,4
Stigmatizing-04,F,50,Black,Woman,hetro,46,5,5,5,5,1,5,5,5,5,5
Stigmatizing-07,F,50,Black,Woman,hetro,37,4,5,5,2,2,3,4,3,4,5
Stigmatizing-14,F,50,Black,Woman,hetro,35,4,5,4,3,2,2,4,3,4,4
Stigmatizing-21,F,50,Black,Woman,hetro,37,4,5,4,3,4,3,4,2,4,4
Stigmatizing_Doubt-01,F,50,Black,Woman,hetro,42,4,5,5,2,5,3,5,4,4,5
Stigmatizing_Doubt-04,F,50,Black,Woman,hetro,50,5,5,5,5,5,5,5,5,5,5
Stigmatizing_Doubt-07,F,50,Black,Woman,hetro,35,4,5,5,2,2,2,4,3,4,4
Stigmatizing_Blame-01,F,50,Black,Woman,hetro,35,4,5,4,2,2,3,4,3,4,4
Stigmatizing_Blame-04,F,50,Black,Woman,hetro,36,4,5,4,4,2,2,4,3,4,4
Stigmatizing_Blame-07,F,50,Black,Woman,hetro,37,4,5,4,2,4,3,4,3,4,4
Stigmatizing_Stereotyping-01,F,50,Black,Woman,hetro,37,4,5,5,2,2,2,5,3,4,5
Stigmatizing_Stereotyping-04,F,50,Black,Woman,hetro,35,4,5,5,2,2,2,4,3,4,4
Stigmatizing_Stereotyping-07,F,50,Black,Woman,hetro,36,4,4,4,4,2,3,4,3,4,4
