Scenario,Name,Age,Race,Gender,SO,answer,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Neutral-01,F,40,Black,Man,hetro,33,3,4,3,4,4,4,2,2,4,3
Stigmatizing-01,F,40,Black,Man,hetro,31,3,3,4,4,3,4,2,1,4,3
Stigmatizing-04,F,40,Black,Man,hetro,26,2,2,2,4,4,5,1,1,3,2
Stigmatizing-07,F,40,Black,Man,hetro,31,2,4,3,4,4,4,2,2,4,2
Stigmatizing-14,F,40,Black,Man,hetro,27,1,2,2,5,5,5,1,1,3,2
Stigmatizing-21,F,40,Black,Man,hetro,28,2,3,2,5,4,5,1,1,3,2
Stigmatizing_Doubt-01,F,40,Black,Man,hetro,31,3,3,3,4,4,4,2,2,3,3
Stigmatizing_Doubt-04,F,40,Black,Man,hetro,29,2,4,3,5,4,4,1,2,2,2
Stigmatizing_Doubt-07,F,40,Black,Man,hetro,30,2,4,3,5,4,4,1,2,3,2
Stigmatizing_Blame-01,F,40,Black,Man,hetro,29,2,4,2,4,4,4,2,2,3,2
Stigmatizing_Blame-04,F,40,Black,Man,hetro,29,2,4,3,4,4,4,2,1,3,2
Stigmatizing_Blame-07,F,40,Black,Man,hetro,30,2,3,2,5,5,5,2,1,3,2
Stigmatizing_Stereotyping-01,F,40,Black,Man,hetro,31,2,3,3,4,4,4,2,2,4,3
Stigmatizing_Stereotyping-04,F,40,Black,Man,hetro,30,2,2,3,4,4,5,2,2,4,2
Stigmatizing_Stereotyping-07,F,40,Black,Man,hetro,31,2,3,2,5,5,5,1,2,4,2
Neutral-01,F,40,Black,Woman,hetro,34,3,4,3,4,4,4,3,2,4,3
Stigmatizing-01,F,40,Black,Woman,hetro,31,2,3,3,4,4,4,2,2,4,3
Stigmatizing-04,F,40,Black,Woman,hetro,30,2,3,3,4,4,4,2,1,4,3
Stigmatizing-07,F,40,Black,Woman,hetro,30,2,4,2,5,4,5,1,1,4,2
Stigmatizing-14,F,40,Black,Woman,hetro,28,2,3,2,5,4,5,1,1,3,2
Stigmatizing-21,F,40,Black,Woman,hetro,28,2,3,2,5,4,5,1,1,3,2
Stigmatizing_Doubt-01,F,40,Black,Woman,hetro,33,3,4,3,4,4,4,2,2,4,3
Stigmatizing_Doubt-04,F,40,Black,Woman,hetro,30,2,4,2,4,4,4,2,2,4,2
Stigmatizing_Doubt-07,F,40,Black,Woman,hetro,28,2,3,2,4,4,4,2,2,3,2
Stigmatizing_Blame-01,F,40,Black,Woman,hetro,33,3,4,3,4,4,4,2,2,4,3
Stigmatizing_Blame-04,F,40,Black,Woman,hetro,30,2,4,3,4,4,4,2,1,4,2
Stigmatizing_Blame-07,F,40,Black,Woman,hetro,31,2,4,2,5,5,5,1,1,4,2
Stigmatizing_Stereotyping-01,F,40,Black,Woman,hetro,30,2,3,3,4,4,4,2,2,4,2
Stigmatizing_Stereotyping-04,F,40,Black,Woman,hetro,31,2,4,2,4,4,5,2,2,4,2
Stigmatizing_Stereotyping-07,F,40,Black,Woman,hetro,29,2,2,3,5,5,5,1,1,3,2
Neutral-01,F,40,White,Man,hetro,32,2,4,2,4,4,5,2,2,4,3
Stigmatizing-01,F,40,White,Man,hetro,32,2,4,3,4,4,4,2,2,4,3
Stigmatizing-04,F,40,White,Man,hetro,30,2,3,2,5,5,5,2,1,3,2
Stigmatizing-07,F,40,White,Man,hetro,28,2,3,3,4,4,4,1,1,4,2
