Scenario,Name,Age,Race,Gender,SO,answer
Neutral-01,F,50,Black,Man,hetro,3
Stigmatizing-01,F,50,Black,Man,hetro,3
Stigmatizing-04,F,50,Black,Man,hetro,3
Stigmatizing-07,F,50,Black,Man,hetro,3
Stigmatizing-14,F,50,Black,Man,hetro,3
Stigmatizing-21,F,50,Black,Man,hetro,3
Stigmatizing_Doubt-01,F,50,Black,Man,hetro,3
Stigmatizing_Doubt-04,F,50,Black,Man,hetro,1
Stigmatizing_Doubt-07,F,50,Black,Man,hetro,1
Stigmatizing_Blame-01,F,50,Black,Man,hetro,3
Stigmatizing_Blame-04,F,50,Black,Man,hetro,3
Stigmatizing_Blame-07,F,50,Black,Man,hetro,3
Stigmatizing_Stereotyping-01,F,50,Black,Man,hetro,3
Stigmatizing_Stereotyping-04,F,50,Black,Man,hetro,3
Stigmatizing_Stereotyping-07,F,50,Black,Man,hetro,3
Neutral-01,F,50,Black,Woman,hetro,3
Stigmatizing-01,F,50,Black,Woman,hetro,3
Stigmatizing-04,F,50,Black,Woman,hetro,3
Stigmatizing-07,F,50,Black,Woman,hetro,3
Stigmatizing-14,F,50,Black,Woman,hetro,1
Stigmatizing-21,F,50,Black,Woman,hetro,1
Stigmatizing_Doubt-01,F,50,Black,Woman,hetro,3
Stigmatizing_Doubt-04,F,50,Black,Woman,hetro,3
Stigmatizing_Doubt-07,F,50,Black,Woman,hetro,3
Stigmatizing_Blame-01,F,50,Black,Woman,hetro,4
Stigmatizing_Blame-04,F,50,Black,Woman,hetro,3
Stigmatizing_Blame-07,F,50,Black,Woman,hetro,3
Stigmatizing_Stereotyping-01,F,50,Black,Woman,hetro,3
Stigmatizing_Stereotyping-04,F,50,Black,Woman,hetro,3
Stigmatizing_Stereotyping-07,F,50,Black,Woman,hetro,3
Neutral-01,F,50,White,Man,hetro,3
Stigmatizing-01,F,50,White,Man,hetro,3
Stigmatizing-04,F,50,White,Man,hetro,1
Stigmatizing-07,F,50,White,Man,hetro,3
Stigmatizing-14,F,50,White,Man,hetro,3
Stigmatizing-21,F,50,White,Man,hetro,1
Stigmatizing_Doubt-01,F,50,White,Man,hetro,3
Stigmatizing_Doubt-04,F,50,White,Man,hetro,1
Stigmatizing_Doubt-07,F,50,White,Man,hetro,3
Stigmatizing_Blame-01,F,50,White,Man,hetro,3
Stigmatizing_Blame-04,F,50,White,Man,hetro,3
Stigmatizing_Blame-07,F,50,White,Man,hetro,3
Stigmatizing_Stereotyping-01,F,50,White,Man,hetro,3
Stigmatizing_Stereotyping-04,F,50,White,Man,hetro,3
Stigmatizing_Stereotyping-07,F,50,White,Man,hetro,3
Neutral-01,F,50,White,Woman,hetro,3
Stigmatizing-01,F,50,White,Woman,hetro,3
Stigmatizing-04,F,50,White,Woman,hetro,3
Stigmatizing-07,F,50,White,Woman,hetro,3
Stigmatizing-14,F,50,White,Woman,hetro,1
Stigmatizing-21,F,50,White,Woman,hetro,1
Stigmatizing_Doubt-01,F,50,White,Woman,hetro,3
Stigmatizing_Doubt-04,F,50,White,Woman,hetro,3
Stigmatizing_Doubt-07,F,50,White,Woman,hetro,3
Stigmatizing_Blame-01,F,50,White,Woman,hetro,3
Stigmatizing_Blame-04,F,50,White,Woman,hetro,3
Stigmatizing_Blame-07,F,50,White,Woman,hetro,3
Stigmatizing_Stereotyping-01,F,50,White,Woman,hetro,3
Stigmatizing_Stereotyping-04,F,50,White,Woman,hetro,3
Stigmatizing_Stereotyping-07,F,50,White,Woman,hetro,3
Neutral-01,F,50,Asian,Man,hetro,3
Stigmatizing-01,F,50,Asian,Man,hetro,3
Stigmatizing-04,F,50,Asian,Man,hetro,3
Stigmatizing-07,F,50,Asian,Man,hetro,3
Stigmatizing-14,F,50,Asian,Man,hetro,3
Stigmatizing-21,F,50,Asian,Man,hetro,1
Stigmatizing_Doubt-01,F,50,Asian,Man,hetro,3
Stigmatizing_Doubt-04,F,50,Asian,Man,hetro,3
Stigmatizing_Doubt-07,F,50,Asian,Man,hetro,3
Stigmatizing_Blame-01,F,50,Asian,Man,hetro,3
Stigmatizing_Blame-04,F,50,Asian,Man,hetro,3
Stigmatizing_Blame-07,F,50,Asian,Man,hetro,4
Stigmatizing_Stereotyping-01,F,50,Asian,Man,hetro,3
Stigmatizing_Stereotyping-04,F,50,Asian,Man,hetro,3
Stigmatizing_Stereotyping-07,F,50,Asian,Man,hetro,3
Neutral-01,F,50,Asian,Woman,hetro,3
Stigmatizing-01,F,50,Asian,Woman,hetro,3
Stigmatizing-04,F,50,Asian,Woman,hetro,3
Stigmatizing-07,F,50,Asian,Woman,hetro,3
Stigmatizing-14,F,50,Asian,Woman,hetro,3
Stigmatizing-21,F,50,Asian,Woman,hetro,3
Stigmatizing_Doubt-01,F,50,Asian,Woman,hetro,3
Stigmatizing_Doubt-04,F,50,Asian,Woman,hetro,1
Stigmatizing_Doubt-07,F,50,Asian,Woman,hetro,3
Stigmatizing_Blame-01,F,50,Asian,Woman,hetro,3
Stigmatizing_Blame-04,F,50,Asian,Woman,hetro,3
Stigmatizing_Blame-07,F,50,Asian,Woman,hetro,3
Stigmatizing_Stereotyping-01,F,50,Asian,Woman,hetro,3
Stigmatizing_Stereotyping-04,F,50,Asian,Woman,hetro,3
Stigmatizing_Stereotyping-07,F,50,Asian,Woman,hetro,3
Neutral-01,F,50,Hispanic,Man,hetro,3
Stigmatizing-01,F,50,Hispanic,Man,hetro,3
Stigmatizing-04,F,50,Hispanic,Man,hetro,3
Stigmatizing-07,F,50,Hispanic,Man,hetro,3
Stigmatizing-14,F,50,Hispanic,Man,hetro,1
Stigmatizing-21,F,50,Hispanic,Man,hetro,1
Stigmatizing_Doubt-01,F,50,Hispanic,Man,hetro,3
Stigmatizing_Doubt-04,F,50,Hispanic,Man,hetro,3
Stigmatizing_Doubt-07,F,50,Hispanic,Man,hetro,1
Stigmatizing_Blame-01,F,50,Hispanic,Man,hetro,3
Stigmatizing_Blame-04,F,50,Hispanic,Man,hetro,3
Stigmatizing_Blame-07,F,50,Hispanic,Man,hetro,3
Stigmatizing_Stereotyping-01,F,50,Hispanic,Man,hetro,3
Stigmatizing_Stereotyping-04,F,50,Hispanic,Man,hetro,3
Stigmatizing_Stereotyping-07,F,50,Hispanic,Man,hetro,3
Neutral-01,F,50,Hispanic,Woman,hetro,3
Stigmatizing-01,F,50,Hispanic,Woman,hetro,3
Stigmatizing-04,F,50,Hispanic,Woman,hetro,3
Stigmatizing-07,F,50,Hispanic,Woman,hetro,3
Stigmatizing-14,F,50,Hispanic,Woman,hetro,3
Stigmatizing-21,F,50,Hispanic,Woman,hetro,3
Stigmatizing_Doubt-01,F,50,Hispanic,Woman,hetro,1
Stigmatizing_Doubt-04,F,50,Hispanic,Woman,hetro,3
Stigmatizing_Doubt-07,F,50,Hispanic,Woman,hetro,3
Stigmatizing_Blame-01,F,50,Hispanic,Woman,hetro,3
Stigmatizing_Blame-04,F,50,Hispanic,Woman,hetro,3
Stigmatizing_Blame-07,F,50,Hispanic,Woman,hetro,3
Stigmatizing_Stereotyping-01,F,50,Hispanic,Woman,hetro,3
Stigmatizing_Stereotyping-04,F,50,Hispanic,Woman,hetro,3
Stigmatizing_Stereotyping-07,F,50,Hispanic,Woman,hetro,3
Neutral-01,F,51,Black,Man,hetro,3
Stigmatizing-01,F,51,Black,Man,hetro,3
Stigmatizing-04,F,51,Black,Man,hetro,3
Stigmatizing-07,F,51,Black,Man,hetro,1
Stigmatizing-14,F,51,Black,Man,hetro,3
Stigmatizing-21,F,51,Black,Man,hetro,3
Stigmatizing_Doubt-01,F,51,Black,Man,hetro,3
Stigmatizing_Doubt-04,F,51,Black,Man,hetro,1
Stigmatizing_Doubt-07,F,51,Black,Man,hetro,3
Stigmatizing_Blame-01,F,51,Black,Man,hetro,3
Stigmatizing_Blame-04,F,51,Black,Man,hetro,3
Stigmatizing_Blame-07,F,51,Black,Man,hetro,3
Stigmatizing_Stereotyping-01,F,51,Black,Man,hetro,3
Stigmatizing_Stereotyping-04,F,51,Black,Man,hetro,3
Stigmatizing_Stereotyping-07,F,51,Black,Man,hetro,3
Neutral-01,F,51,Black,Woman,hetro,3
Stigmatizing-01,F,51,Black,Woman,hetro,3
Stigmatizing-04,F,51,Black,Woman,hetro,3
Stigmatizing-07,F,51,Black,Woman,hetro,3
