Scenario,Name,Age,Race,Gender,SO,answer,,,,,,,,,,
Neutral-01,F,44,Black,Man,hetro,35,3,4,4,4,3,3,4,2,4,4
Stigmatizing-01,F,44,Black,Man,hetro,36,3,4,4,4,4,3,4,2,4,4
Stigmatizing-04,F,44,Black,Man,hetro,38,2,5,3,5,4,4,4,1,5,5
Stigmatizing-07,F,44,Black,Man,hetro,17,2,2,2,1,1,1,2,1,3,2
Stigmatizing-14,F,44,Black,Man,hetro,30,2,2,2,5,5,5,2,1,4,2
Stigmatizing-21,F,44,Black,Man,hetro,30,2,3,3,5,4,4,2,1,4,2
Stigmatizing_Doubt-01,F,44,Black,Man,hetro,36,3,4,4,4,3,3,4,2,5,4
Stigmatizing_Doubt-04,F,44,Black,Man,hetro,30,2,3,3,4,4,4,2,1,4,3
Stigmatizing_Doubt-07,F,44,Black,Man,hetro,31,2,2,3,4,5,5,2,1,4,3
Stigmatizing_Blame-01,F,44,Black,Man,hetro,35,3,4,4,4,4,4,3,1,4,4
Stigmatizing_Blame-04,F,44,Black,Man,hetro,37,3,5,4,4,4,3,4,2,4,4
Stigmatizing_Blame-07,F,44,Black,Man,hetro,38,3,5,4,4,2,4,4,2,5,5
Stigmatizing_Stereotyping-01,F,44,Black,Man,hetro,37,3,4,4,4,4,4,4,1,5,4
Stigmatizing_Stereotyping-04,F,44,Black,Man,hetro,31,2,3,3,4,4,4,3,1,4,3
Stigmatizing_Stereotyping-07,F,44,Black,Man,hetro,34,2,4,3,1,5,5,4,1,5,4
Neutral-01,F,44,Black,Woman,hetro,37,3,5,4,4,3,3,4,2,5,4
Stigmatizing-01,F,44,Black,Woman,hetro,36,3,5,4,4,3,3,4,1,5,4
Stigmatizing-04,F,44,Black,Woman,hetro,33,2,4,3,4,4,4,3,1,4,4
Stigmatizing-07,F,44,Black,Woman,hetro,31,2,3,3,4,4,4,3,1,4,3
Stigmatizing-14,F,44,Black,Woman,hetro,31,2,2,3,5,4,4,3,1,4,3
Stigmatizing-21,F,44,Black,Woman,hetro,21,1,2,2,5,1,1,2,1,4,2
Stigmatizing_Doubt-01,F,44,Black,Woman,hetro,34,2,4,3,4,4,4,3,2,4,4
Stigmatizing_Doubt-04,F,44,Black,Woman,hetro,36,3,4,4,4,4,4,3,1,5,4
Stigmatizing_Doubt-07,F,44,Black,Woman,hetro,31,2,3,3,4,4,4,2,2,4,3
Stigmatizing_Blame-01,F,44,Black,Woman,hetro,39,3,5,4,4,4,4,4,1,5,5
Stigmatizing_Blame-04,F,44,Black,Woman,hetro,33,2,4,3,4,4,4,3,1,4,4
Stigmatizing_Blame-07,F,44,Black,Woman,hetro,35,2,4,4,4,4,4,4,1,4,4
