Scenario,Name,Age,Race,Gender,SO,answer,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Neutral-01,F,40,Black,Man,hetro,25,3.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0
Stigmatizing-01,F,40,Black,Man,hetro,24,2.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0
Stigmatizing-04,F,40,Black,Man,hetro,26,3.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0
Stigmatizing-07,F,40,Black,Man,hetro,21,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0
Stigmatizing-14,F,40,Black,Man,hetro,18,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
Stigmatizing-21,F,40,Black,Man,hetro,22,2.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0
Stigmatizing_Doubt-01,F,40,Black,Man,hetro,27,3.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0
Stigmatizing_Doubt-04,F,40,Black,Man,hetro,32,3.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,2.0
Stigmatizing_Doubt-07,F,40,Black,Man,hetro,29,2.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0
Stigmatizing_Blame-01,F,40,Black,Man,hetro,28,3.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0
Stigmatizing_Blame-04,F,40,Black,Man,hetro,23,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0
Stigmatizing_Blame-07,F,40,Black,Man,hetro,35,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0
Stigmatizing_Stereotyping-01,F,40,Black,Man,hetro,28,3.0,4.0,4.0,1.0,3.0,3.0,2.0,1.0,4.0,3.0
Stigmatizing_Stereotyping-04,F,40,Black,Man,hetro,27,2.0,4.0,3.0,1.0,1.0,1.0,4.0,5.0,2.0,4.0
Stigmatizing_Stereotyping-07,F,40,Black,Man,hetro,35,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0
Neutral-01,F,40,Black,Woman,hetro,36,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0
Stigmatizing-01,F,40,Black,Woman,hetro,34,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0
Stigmatizing-04,F,40,Black,Woman,hetro,22,2.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0
Stigmatizing-07,F,40,Black,Woman,hetro,28,2.0,4.0,3.0,5.0,2.0,4.0,2.0,1.0,3.0,2.0
Stigmatizing-14,F,40,Black,Woman,hetro,19,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
Stigmatizing-21,F,40,Black,Woman,hetro,24,2.0,3.0,3.0,5.0,1.0,2.0,2.0,1.0,3.0,2.0
Stigmatizing_Doubt-01,F,40,Black,Woman,hetro,24,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0
Stigmatizing_Doubt-04,F,40,Black,Woman,hetro,24,2.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0
Stigmatizing_Doubt-07,F,40,Black,Woman,hetro,20,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0
Stigmatizing_Blame-01,F,40,Black,Woman,hetro,31,3.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0
Stigmatizing_Blame-04,F,40,Black,Woman,hetro,33,2.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0
