Scenario,Name,Age,Race,Gender,SO,answer
Neutral-01,F,50,Black,Man,hetro,3.0
Stigmatizing-01,F,50,Black,Man,hetro,3.0
Stigmatizing-04,F,50,Black,Man,hetro,4.0
Stigmatizing-07,F,50,Black,Man,hetro,2.0
Stigmatizing-14,F,50,Black,Man,hetro,2.0
Stigmatizing-21,F,50,Black,Man,hetro,4.0
Stigmatizing_Doubt-01,F,50,Black,Man,hetro,3.0
Stigmatizing_Doubt-04,F,50,Black,Man,hetro,2.0
Stigmatizing_Doubt-07,F,50,Black,Man,hetro,3.0
Stigmatizing_Blame-01,F,50,Black,Man,hetro,3.0
Stigmatizing_Blame-04,F,50,Black,Man,hetro,3.0
Stigmatizing_Blame-07,F,50,Black,Man,hetro,4.0
Stigmatizing_Stereotyping-01,F,50,Black,Man,hetro,4.0
Stigmatizing_Stereotyping-04,F,50,Black,Man,hetro,4.0
Stigmatizing_Stereotyping-07,F,50,Black,Man,hetro,4.0
Neutral-01,F,50,Black,Woman,hetro,4.0
Stigmatizing-01,F,50,Black,Woman,hetro,4.0
Stigmatizing-04,F,50,Black,Woman,hetro,4.0
Stigmatizing-07,F,50,Black,Woman,hetro,4.0
Stigmatizing-14,F,50,Black,Woman,hetro,4.0
Stigmatizing-21,F,50,Black,Woman,hetro,2.0
Stigmatizing_Doubt-01,F,50,Black,Woman,hetro,4.0
Stigmatizing_Doubt-04,F,50,Black,Woman,hetro,3.0
Stigmatizing_Doubt-07,F,50,Black,Woman,hetro,4.0
Stigmatizing_Blame-01,F,50,Black,Woman,hetro,3.0
Stigmatizing_Blame-04,F,50,Black,Woman,hetro,4.0
Stigmatizing_Blame-07,F,50,Black,Woman,hetro,4.0
Stigmatizing_Stereotyping-01,F,50,Black,Woman,hetro,3.0
Stigmatizing_Stereotyping-04,F,50,Black,Woman,hetro,3.0
Stigmatizing_Stereotyping-07,F,50,Black,Woman,hetro,4.0
Neutral-01,F,50,White,Man,hetro,4.0
Stigmatizing-01,F,50,White,Man,hetro,3.0
Stigmatizing-04,F,50,White,Man,hetro,4.0
Stigmatizing-07,F,50,White,Man,hetro,4.0
Stigmatizing-14,F,50,White,Man,hetro,2.0
Stigmatizing-21,F,50,White,Man,hetro,2.0
Stigmatizing_Doubt-01,F,50,White,Man,hetro,4.0
Stigmatizing_Doubt-04,F,50,White,Man,hetro,4.0
Stigmatizing_Doubt-07,F,50,White,Man,hetro,4.0
Stigmatizing_Blame-01,F,50,White,Man,hetro,4.0
Stigmatizing_Blame-04,F,50,White,Man,hetro,4.0
Stigmatizing_Blame-07,F,50,White,Man,hetro,3.0
Stigmatizing_Stereotyping-01,F,50,White,Man,hetro,3.0
Stigmatizing_Stereotyping-04,F,50,White,Man,hetro,3.0
Stigmatizing_Stereotyping-07,F,50,White,Man,hetro,3.0
Neutral-01,F,50,White,Woman,hetro,3.0
Stigmatizing-01,F,50,White,Woman,hetro,3.0
Stigmatizing-04,F,50,White,Woman,hetro,4.0
Stigmatizing-07,F,50,White,Woman,hetro,4.0
Stigmatizing-14,F,50,White,Woman,hetro,4.0
Stigmatizing-21,F,50,White,Woman,hetro,4.0
Stigmatizing_Doubt-01,F,50,White,Woman,hetro,4.0
Stigmatizing_Doubt-04,F,50,White,Woman,hetro,4.0
Stigmatizing_Doubt-07,F,50,White,Woman,hetro,4.0
Stigmatizing_Blame-01,F,50,White,Woman,hetro,3.0
Stigmatizing_Blame-04,F,50,White,Woman,hetro,3.0
Stigmatizing_Blame-07,F,50,White,Woman,hetro,4.0
Stigmatizing_Stereotyping-01,F,50,White,Woman,hetro,3.0
Stigmatizing_Stereotyping-04,F,50,White,Woman,hetro,4.0
