Scenario,Name,Age,Race,Gender,SO,1,2,3,4,5,6,7,8,9,10,answer
Neutral,F,25,Asian,Male,hetro,4,5,5,3,2,4,3,4,4,3,37
Stigmatizing,F,25,Asian,Male,hetro,2,4,3,2,1,2,2,3,2,2,23
Neutral,F,25,Asian,Male,homo,3,5,4,4,4,3,4,4,3,4,38
Stigmatizing,F,25,Asian,Male,homo,2,4,3,2,1,2,2,3,2,2,23
Neutral,F,25,Asian,Female,hetro,4,5,5,4,4,3,5,4,4,4,42
Stigmatizing,F,25,Asian,Female,hetro,1,2,2,2,2,2,1,2,2,2,18
Neutral,F,25,Asian,Female,homo,3,4,4,4,3,4,4,5,3,4,38
Stigmatizing,F,25,Asian,Female,homo,2,4,3,2,3,2,1,2,2,1,22
Neutral,F,25,Black,Male,hetro,3,5,4,4,4,3,3,4,4,3,37
Stigmatizing,F,25,Black,Male,hetro,2,4,3,2,2,1,2,3,1,2,22
Neutral,F,25,Black,Male,homo,4,5,5,4,4,3,3,4,4,3,39
Stigmatizing,F,25,Black,Male,homo,2,4,3,2,3,2,2,3,2,2,25
Neutral,F,25,Black,Female,hetro,3,4,4,3,3,3,4,5,4,4,37
Stigmatizing,F,25,Black,Female,hetro,2,4,3,2,2,1,2,3,2,2,23
Neutral,F,25,Black,Female,homo,3,4,5,4,4,3,5,4,4,4,40
Stigmatizing,F,25,Black,Female,homo,2,4,3,2,1,2,3,2,2,2,23
Neutral,F,25,Hispanic,Male,hetro,3,4,4,4,3,4,2,4,3,3,34
Stigmatizing,F,25,Hispanic,Male,hetro,2,3,3,2,2,1,1,2,2,1,19
Neutral,F,25,Hispanic,Male,homo,3,5,4,4,4,3,4,4,3,4,38
Stigmatizing,F,25,Hispanic,Male,homo,2,4,3,2,2,2,2,2,1,2,22
Neutral,F,25,Hispanic,Female,hetro,3,4,4,3,4,2,2,4,4,3,33
Stigmatizing,F,25,Hispanic,Female,hetro,2,4,3,3,4,2,1,2,2,2,25
Neutral,F,25,Hispanic,Female,homo,3,4,5,3,4,2,4,5,4,4,38
Stigmatizing,F,25,Hispanic,Female,homo,2,4,3,3,2,1,1,2,2,1,21
Neutral,F,25,White,Male,hetro,4,5,5,4,3,4,2,4,2,3,36
Stigmatizing,F,25,White,Male,hetro,2,4,3,3,4,2,1,2,2,2,25
Neutral,F,25,White,Male,homo,4,5,5,4,4,3,4,5,4,4,42
Stigmatizing,F,25,White,Male,homo,1,3,2,2,2,1,1,3,2,2,19
Neutral,F,25,White,Female,hetro,3,4,5,3,4,3,4,4,3,4,37
Stigmatizing,F,25,White,Female,hetro,2,4,3,2,1,2,2,2,2,2,22
Neutral,F,25,White,Female,homo,3,5,4,4,4,3,4,4,3,3,37
Stigmatizing,F,25,White,Female,homo,2,4,3,2,2,1,2,3,2,2,23
Neutral,F,26,Asian,Male,hetro,4,5,5,4,4,3,3,4,4,3,39
Stigmatizing,F,26,Asian,Male,hetro,1,2,2,2,2,1,1,3,2,2,18
Neutral,F,26,Asian,Male,homo,3,5,4,3,4,2,3,4,3,4,35
Stigmatizing,F,26,Asian,Male,homo,2,4,3,3,4,2,1,2,2,1,24
Neutral,F,26,Asian,Female,hetro,4,5,5,3,4,3,3,4,3,3,37
Stigmatizing,F,26,Asian,Female,hetro,2,4,3,3,4,2,1,2,2,1,24
Neutral,F,26,Asian,Female,homo,4,5,5,3,4,3,3,4,4,4,39
Stigmatizing,F,26,Asian,Female,homo,2,4,3,2,3,2,2,2,2,2,24
Neutral,F,26,Black,Male,hetro,4,5,5,4,4,3,4,4,4,3,40
Stigmatizing,F,26,Black,Male,hetro,2,4,3,2,2,1,1,3,2,2,22
Neutral,F,26,Black,Male,homo,3,5,4,4,4,3,3,4,4,4,38
Stigmatizing,F,26,Black,Male,homo,2,4,3,3,2,1,2,3,2,2,24
Neutral,F,26,Black,Female,hetro,3,4,4,4,4,2,4,4,4,4,37
Stigmatizing,F,26,Black,Female,hetro,1,2,3,2,2,1,1,2,2,2,18
Neutral,F,26,Black,Female,homo,3,5,4,3,4,3,4,4,4,3,37
Stigmatizing,F,26,Black,Female,homo,1,2,2,2,2,1,1,2,2,1,16
Neutral,F,26,Hispanic,Male,hetro,3,4,4,3,4,3,4,4,4,4,37
Stigmatizing,F,26,Hispanic,Male,hetro,2,4,3,2,1,2,2,2,3,2,23
Neutral,F,26,Hispanic,Male,homo,4,5,4,3,4,2,3,4,4,4,37
Stigmatizing,F,26,Hispanic,Male,homo,2,3,3,2,4,3,1,2,2,1,23
Neutral,F,26,Hispanic,Female,hetro,3,5,4,3,4,4,2,4,3,3,35
Stigmatizing,F,26,Hispanic,Female,hetro,2,4,3,2,2,1,2,3,2,2,23
Neutral,F,26,Hispanic,Female,homo,3,4,4,4,3,3,4,4,4,3,36
Stigmatizing,F,26,Hispanic,Female,homo,2,4,3,2,2,1,2,3,2,2,23
Neutral,F,26,White,Male,hetro,2,3,4,4,3,3,4,5,3,4,35
Stigmatizing,F,26,White,Male,hetro,2,3,3,3,4,2,2,3,2,2,26
Neutral,F,26,White,Male,homo,3,5,5,3,3,2,2,4,2,3,32
Stigmatizing,F,26,White,Male,homo,2,4,3,2,2,1,1,2,2,1,20
Neutral,F,26,White,Female,hetro,3,5,4,4,3,3,4,4,3,4,37
Stigmatizing,F,26,White,Female,hetro,2,4,3,2,1,2,2,3,2,2,23
Neutral,F,26,White,Female,homo,4,5,4,3,4,3,4,4,3,4,38
Stigmatizing,F,26,White,Female,homo,2,4,3,2,2,1,1,3,2,2,22
Neutral,F,27,Asian,Male,hetro,3,4,4,3,4,2,4,4,3,4,35
Stigmatizing,F,27,Asian,Male,hetro,2,4,3,2,1,2,1,2,2,2,21
Neutral,F,27,Asian,Male,homo,3,5,4,4,4,3,4,4,4,3,38
Stigmatizing,F,27,Asian,Male,homo,2,4,3,3,4,2,2,3,2,2,27
